domain,variant,fusion_mode,beta,benchmark,metric,score,score_percent,sample_count,result_file
medical,target,target,,medqa_4options,"acc,none",0.3770620581304006,37.706205813040064,1273,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,mmlu_anatomy,"acc,none",0.4962962962962963,49.629629629629626,135,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,medmcqa,"acc,none",0.3638536935213961,36.38536935213961,4183,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,mmlu_clinical_knowledge,"acc,none",0.4339622641509434,43.39622641509434,265,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,mmlu_college_biology,"acc,none",0.3819444444444444,38.19444444444444,144,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,mmlu_college_medicine,"acc,none",0.2947976878612717,29.47976878612717,173,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,mmlu_medical_genetics,"acc,none",0.5,50.0,100,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,target,target,,mmlu_professional_medicine,"acc,none",0.39338235294117646,39.338235294117645,272,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T22-23-51.334926.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,medqa_4options,"acc,none",0.37077769049489395,37.0777690494894,1273,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
medical,aci_ffn_safe_beta0.03,ffn_safe,0.03,mmlu_anatomy,"acc,none",0.48148148148148145,48.148148148148145,135,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T22-23-48.632494.json
