domain,variant,benchmark,metric,score,score_percent,status,result_file
medical,aci_attention_circuit_beta0.03,medqa_4options,"acc,none",0.3770620581304006,37.706205813040064,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,mmlu_anatomy,"acc,none",0.5111111111111111,51.11111111111111,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,medmcqa,"acc,none",0.3655271336361463,36.55271336361463,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,mmlu_clinical_knowledge,"acc,none",0.44150943396226416,44.15094339622642,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,mmlu_college_biology,"acc,none",0.375,37.5,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,mmlu_college_medicine,"acc,none",0.30057803468208094,30.057803468208093,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,mmlu_medical_genetics,"acc,none",0.49,49.0,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_attention_circuit_beta0.03,mmlu_professional_medicine,"acc,none",0.4007352941176471,40.07352941176471,complete,evaluation_results/aci_safe/medical/aci_attention_circuit_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_attention_circuit_beta0.03__fused_model/results_2026-07-21T21-22-31.825249.json
medical,aci_ffn_safe_beta0.03,medqa_4options,"acc,none",0.3762765121759623,37.62765121759623,complete,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T21-19-38.938385.json
medical,aci_ffn_safe_beta0.03,mmlu_anatomy,"acc,none",0.48148148148148145,48.148148148148145,complete,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T21-19-38.938385.json
medical,aci_ffn_safe_beta0.03,medmcqa,"acc,none",0.36218025340664595,36.218025340664596,complete,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T21-19-38.938385.json
medical,aci_ffn_safe_beta0.03,mmlu_clinical_knowledge,"acc,none",0.4188679245283019,41.88679245283019,complete,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T21-19-38.938385.json
medical,aci_ffn_safe_beta0.03,mmlu_college_biology,"acc,none",0.3958333333333333,39.58333333333333,complete,evaluation_results/aci_safe/medical/aci_ffn_safe_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_ffn_safe_beta0.03__fused_model/results_2026-07-21T21-19-38.938385.json
